(0, 0) (1, 1) (2, 38) 
(0, 0) (1, 1) (2, 88) 
(0, 0) (1, 1) (2, 94) 
(0, 0) (1, 1) (2, 97) 
(0, 0) (1, 1) (2, 121) 
(0, 0) (1, 1) (2, 132) 
(0, 0) (1, 1) (2, 235) 
(0, 0) (1, 1) (2, 241) 
(0, 0) (1, 1) (2, 244) 
(0, 0) (1, 1) (2, 251) 
(0, 0) (1, 1) (2, 267) 
(0, 0) (1, 1) (2, 338) 
(0, 0) (1, 1) (2, 439) 
(0, 0) (1, 1) (2, 454) 
(0, 0) (1, 1) (2, 473) 
(0, 0) (1, 1) (2, 494) 
(0, 0) (1, 1) (2, 521) 
(0, 0) (1, 1) (2, 539) 
(0, 0) (1, 1) (2, 544) 
(0, 0) (1, 1) (2, 606) 
(0, 0) (1, 1) (2, 625) 
(0, 0) (1, 1) (2, 633) 
(0, 0) (1, 1) (2, 649) 
(0, 0) (1, 1) (2, 658) 
(0, 0) (1, 1) (2, 661) 
(0, 0) (1, 1) (2, 723) 
(0, 0) (1, 1) (2, 724) 
(0, 0) (1, 1) (2, 729) 
(0, 0) (1, 1) (2, 740) 
(0, 0) (1, 1) (2, 787) 
(0, 0) (1, 1) (2, 805) 
(0, 0) (1, 1) (2, 812) 
(0, 0) (1, 1) (2, 816) 
(0, 0) (1, 1) (2, 866) 
(0, 0) (1, 1) (2, 881) 
(0, 0) (1, 1) (2, 918) 
(0, 0) (1, 1) (2, 919) 
(0, 0) (1, 1) (2, 924) 
(0, 0) (1, 1) (2, 965) 
(0, 0) (1, 1) (2, 982) 
(0, 0) (1, 6) (2, 19) 
(0, 0) (1, 6) (2, 25) 
(0, 0) (1, 6) (2, 39) 
(0, 0) (1, 6) (2, 60) 
(0, 0) (1, 6) (2, 62) 
(0, 0) (1, 6) (2, 73) 
(0, 0) (1, 6) (2, 88) 
(0, 0) (1, 6) (2, 95) 
(0, 0) (1, 6) (2, 183) 
(0, 0) (1, 6) (2, 189) 
(0, 0) (1, 6) (2, 269) 
(0, 0) (1, 6) (2, 288) 
(0, 0) (1, 6) (2, 317) 
(0, 0) (1, 6) (2, 321) 
(0, 0) (1, 6) (2, 322) 
(0, 0) (1, 6) (2, 417) 
(0, 0) (1, 6) (2, 441) 
(0, 0) (1, 6) (2, 454) 
(0, 0) (1, 6) (2, 500) 
(0, 0) (1, 6) (2, 532) 
(0, 0) (1, 6) (2, 539) 
